epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.10106,1.37454,0.57513,0.98962,0.99964,1,0.995,0.5929,1.43587,0.53442,1.03521,8e-05,8e-05,8e-05
2,3.86334,1.40803,0.58148,0.99093,0.99973,1,0.995,0.59025,1.44207,0.5308,1.03768,0.000178218,0.000178218,0.000178218
3,5.31237,1.4094,0.57539,1.01473,0.99976,1,0.995,0.58196,1.44878,0.53391,1.04317,0.000274456,0.000274456,0.000274456
4,6.76432,1.41968,0.58258,1.00266,0.99979,1,0.995,0.56864,1.47459,0.5514,1.05323,0.000368714,0.000368714,0.000368714
5,8.25907,1.39485,0.58093,0.97894,0.99959,1,0.995,0.57878,1.48585,0.5596,1.05566,0.000460992,0.000460992,0.000460992
6,10.0184,1.44802,0.5965,1.03293,0.99969,1,0.995,0.56099,1.51893,0.57484,1.06917,0.00055129,0.00055129,0.00055129
7,12.4693,1.44768,0.59695,0.99909,0.99971,1,0.995,0.57927,1.48097,0.56793,1.05484,0.000639608,0.000639608,0.000639608
8,14.3303,1.44326,0.59339,1.01768,0.99968,1,0.995,0.56636,1.47724,0.5628,1.05417,0.000725946,0.000725946,0.000725946
9,16.4544,1.44644,0.59326,0.99346,0.99954,1,0.995,0.57956,1.46944,0.558,1.04776,0.000810304,0.000810304,0.000810304
10,17.8683,1.42426,0.59924,0.98404,0.99959,1,0.995,0.5779,1.46037,0.56854,1.04972,0.000892682,0.000892682,0.000892682
11,19.1594,1.43123,0.60513,1.00743,0.99941,1,0.995,0.57167,1.45873,0.56333,1.05002,0.00097308,0.00097308,0.00097308
12,20.7114,1.3793,0.59533,0.99438,0.9996,1,0.995,0.57584,1.45402,0.54449,1.04639,0.0010515,0.0010515,0.0010515
13,22.0301,1.38587,0.57032,0.97753,0.99952,1,0.995,0.57554,1.44968,0.55317,1.04482,0.00112794,0.00112794,0.00112794
14,23.3423,1.40582,0.59116,1.02365,0.99947,1,0.995,0.5772,1.45495,0.55173,1.04329,0.00120239,0.00120239,0.00120239
15,24.7735,1.39485,0.57383,1.0079,0.99964,1,0.995,0.57616,1.45664,0.55182,1.05049,0.00127487,0.00127487,0.00127487
16,26.1161,1.40039,0.5827,0.99478,0.9996,1,0.995,0.57536,1.47405,0.54863,1.0543,0.00134537,0.00134537,0.00134537
17,27.5211,1.39268,0.57227,0.99412,0.99987,1,0.995,0.58015,1.45913,0.55419,1.05247,0.00141389,0.00141389,0.00141389
18,28.8296,1.41704,0.58795,0.9935,0.99922,1,0.995,0.58694,1.45954,0.54494,1.04951,0.00148043,0.00148043,0.00148043
19,30.2461,1.39857,0.58018,1.03077,0.9995,1,0.995,0.58041,1.45845,0.56239,1.05318,0.00154498,0.00154498,0.00154498
20,31.5605,1.41426,0.59254,0.98728,0.99601,1,0.995,0.58035,1.48348,0.5824,1.04593,0.00160756,0.00160756,0.00160756
21,32.9582,1.4275,0.57723,1.01265,0.99644,0.99723,0.995,0.5747,1.50395,0.57606,1.05553,0.001604,0.001604,0.001604
22,34.3904,1.39395,0.58569,0.98864,0.99853,0.99288,0.995,0.57275,1.49185,0.56714,1.05664,0.0015842,0.0015842,0.0015842
23,35.8022,1.42691,0.58697,1.00739,0.9966,0.98932,0.99496,0.57812,1.48027,0.58089,1.04954,0.0015644,0.0015644,0.0015644
24,37.11,1.41349,0.58985,0.98078,0.98584,0.99103,0.99421,0.5667,1.50916,0.58231,1.06309,0.0015446,0.0015446,0.0015446
25,38.4601,1.40251,0.56607,0.99403,0.99522,1,0.99496,0.57235,1.49751,0.54059,1.05767,0.0015248,0.0015248,0.0015248
26,39.7914,1.4072,0.55521,1.00406,1,0.99878,0.995,0.57627,1.4769,0.53718,1.05145,0.001505,0.001505,0.001505
27,41.1244,1.37715,0.57483,0.9791,0.9966,0.98932,0.99496,0.56809,1.49712,0.55752,1.05539,0.0014852,0.0014852,0.0014852
28,42.4393,1.40302,0.57783,1.02383,0.98224,0.98401,0.99369,0.56824,1.48631,0.68497,1.05363,0.0014654,0.0014654,0.0014654
29,43.7538,1.37903,0.57379,0.9825,0.97771,0.99288,0.9932,0.56024,1.47365,0.64724,1.05136,0.0014456,0.0014456,0.0014456
30,45.1713,1.41364,0.57151,0.97746,0.99195,1,0.99482,0.56791,1.4815,0.57127,1.05404,0.0014258,0.0014258,0.0014258
31,46.5251,1.43275,0.57179,0.99428,0.99645,0.99913,0.995,0.5713,1.48835,0.53959,1.05536,0.001406,0.001406,0.001406
32,47.8709,1.39697,0.56563,0.95346,1,0.99867,0.995,0.57266,1.46217,0.56416,1.04645,0.0013862,0.0013862,0.0013862
33,49.1681,1.37314,0.57871,0.98189,1,0.99994,0.995,0.57526,1.47269,0.54857,1.0507,0.0013664,0.0013664,0.0013664
34,50.4535,1.38536,0.56077,0.97954,0.99965,1,0.995,0.58389,1.47139,0.51899,1.05192,0.0013466,0.0013466,0.0013466
35,51.8311,1.39269,0.55656,0.98413,0.99864,1,0.995,0.57841,1.47766,0.51961,1.05982,0.0013268,0.0013268,0.0013268
36,53.1205,1.3954,0.56052,0.99566,0.99954,1,0.995,0.56188,1.50071,0.53271,1.06361,0.001307,0.001307,0.001307
37,54.4343,1.39425,0.55756,0.99176,0.99384,0.99644,0.99496,0.5628,1.49783,0.54994,1.06481,0.0012872,0.0012872,0.0012872
38,55.7393,1.36435,0.54823,1.00886,0.98928,0.98513,0.99457,0.5687,1.48657,0.57943,1.06663,0.0012674,0.0012674,0.0012674
39,57.0483,1.39954,0.5541,0.99103,0.99126,1,0.995,0.57217,1.48188,0.53301,1.06669,0.0012476,0.0012476,0.0012476
40,58.3605,1.35373,0.53434,0.98565,0.99954,1,0.995,0.56869,1.49364,0.50283,1.05742,0.0012278,0.0012278,0.0012278
41,59.6812,1.41131,0.54626,0.98404,0.99951,1,0.995,0.57679,1.48727,0.51079,1.05638,0.001208,0.001208,0.001208
42,61.0525,1.40708,0.55367,0.97059,0.99926,1,0.995,0.58596,1.45861,0.51168,1.04935,0.0011882,0.0011882,0.0011882
43,62.4021,1.38809,0.55653,0.98028,0.99943,1,0.995,0.57557,1.48624,0.5141,1.06167,0.0011684,0.0011684,0.0011684
44,63.6784,1.39987,0.54784,1.00348,0.99972,1,0.995,0.57596,1.46396,0.50081,1.05008,0.0011486,0.0011486,0.0011486
45,65.0377,1.33795,0.52664,0.97781,0.99948,1,0.995,0.57656,1.4616,0.49718,1.04966,0.0011288,0.0011288,0.0011288
46,66.3288,1.36917,0.53529,0.97551,0.99961,1,0.995,0.58142,1.45998,0.50492,1.05157,0.001109,0.001109,0.001109
47,67.6493,1.35637,0.53625,0.977,0.99963,1,0.995,0.57583,1.46624,0.50777,1.05328,0.0010892,0.0010892,0.0010892
48,68.9411,1.40975,0.55513,0.96518,0.99956,1,0.995,0.56266,1.50172,0.51389,1.06719,0.0010694,0.0010694,0.0010694
49,70.2933,1.36852,0.54144,0.98089,0.99966,1,0.995,0.5775,1.46274,0.50357,1.04972,0.0010496,0.0010496,0.0010496
50,71.5757,1.3757,0.54321,0.98582,0.99959,1,0.995,0.5792,1.47449,0.50114,1.05068,0.0010298,0.0010298,0.0010298
51,72.8192,1.32598,0.52715,0.97988,0.99958,1,0.995,0.58806,1.45178,0.49983,1.04581,0.00101,0.00101,0.00101
52,74.1804,1.36921,0.53632,0.97465,0.9997,1,0.995,0.58284,1.49071,0.50157,1.05892,0.0009902,0.0009902,0.0009902
53,75.5114,1.36751,0.52782,0.97741,0.99969,1,0.995,0.58277,1.49094,0.49593,1.05876,0.0009704,0.0009704,0.0009704
54,76.889,1.39628,0.54203,0.98301,0.99961,1,0.995,0.5827,1.47985,0.49325,1.05423,0.0009506,0.0009506,0.0009506
55,78.1845,1.33223,0.52302,0.94882,0.9996,1,0.995,0.58526,1.47865,0.48895,1.05179,0.0009308,0.0009308,0.0009308
56,79.4839,1.35179,0.52745,1.0188,0.99967,1,0.995,0.57819,1.47833,0.49416,1.0483,0.000911,0.000911,0.000911
57,80.8603,1.35531,0.52375,0.99026,0.9997,1,0.995,0.57893,1.46911,0.49798,1.04912,0.0008912,0.0008912,0.0008912
58,82.1712,1.31853,0.52934,0.98509,0.99978,1,0.995,0.57981,1.47713,0.49397,1.05212,0.0008714,0.0008714,0.0008714
59,83.4359,1.3426,0.52671,0.99656,0.99955,1,0.995,0.57249,1.51039,0.50176,1.06227,0.0008516,0.0008516,0.0008516
60,84.8239,1.33977,0.52986,0.95407,0.99929,1,0.995,0.58042,1.48634,0.49045,1.05611,0.0008318,0.0008318,0.0008318
61,86.0676,1.309,0.51207,0.96122,0.99967,1,0.995,0.58779,1.49147,0.48611,1.0582,0.000812,0.000812,0.000812
62,87.4534,1.34058,0.52701,0.96498,0.99972,1,0.995,0.58697,1.48623,0.50242,1.05924,0.0007922,0.0007922,0.0007922
63,88.7406,1.32965,0.52751,0.97317,0.99963,1,0.995,0.58756,1.46142,0.50215,1.05105,0.0007724,0.0007724,0.0007724
64,90.0395,1.35371,0.52585,0.93158,0.99965,1,0.995,0.58341,1.4663,0.4848,1.05072,0.0007526,0.0007526,0.0007526
65,91.3445,1.27594,0.50372,0.96642,0.99974,1,0.995,0.58672,1.455,0.48059,1.04658,0.0007328,0.0007328,0.0007328
66,92.6874,1.35584,0.5172,0.98522,0.99969,1,0.995,0.5879,1.44447,0.48292,1.04511,0.000713,0.000713,0.000713
67,93.9818,1.29274,0.51382,0.96593,0.99971,1,0.995,0.59077,1.44077,0.48419,1.04646,0.0006932,0.0006932,0.0006932
68,95.5108,1.33241,0.51679,0.98563,0.99965,1,0.995,0.59123,1.45119,0.48291,1.04636,0.0006734,0.0006734,0.0006734
69,97.197,1.26329,0.49992,0.95275,0.99964,1,0.995,0.58936,1.46398,0.48321,1.05062,0.0006536,0.0006536,0.0006536
70,98.9065,1.32571,0.51527,0.99115,0.99962,1,0.995,0.59028,1.45906,0.48067,1.04925,0.0006338,0.0006338,0.0006338
71,100.426,1.32927,0.51963,0.97785,0.99958,1,0.995,0.58732,1.46704,0.48369,1.05292,0.000614,0.000614,0.000614
72,102.045,1.33325,0.51508,0.97262,0.99972,1,0.995,0.58198,1.48542,0.4746,1.05795,0.0005942,0.0005942,0.0005942
73,103.534,1.27919,0.50091,0.97347,0.99968,1,0.995,0.58097,1.48978,0.47665,1.05914,0.0005744,0.0005744,0.0005744
74,105.132,1.27901,0.49966,0.96911,0.99957,1,0.995,0.57656,1.4894,0.48197,1.06074,0.0005546,0.0005546,0.0005546
