epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.82362,2.87404,4.06189,1.78926,0.00167,0.03559,0.0009,0.0003,2.29063,4.59516,1.53124,8e-05,8e-05,8e-05
2,4.54244,2.40259,2.54797,1.57722,0.52992,0.66548,0.60728,0.24247,1.99851,1.46534,1.30666,0.000178218,0.000178218,0.000178218
3,6.651,1.65496,0.97008,1.0981,0.45909,0.91459,0.47065,0.22367,1.68973,2.33834,1.22382,0.000274456,0.000274456,0.000274456
4,8.65451,1.61372,0.70516,1.11773,0.27406,0.99644,0.27577,0.15466,1.51345,11.9456,1.12588,0.000368714,0.000368714,0.000368714
5,10.7155,1.54669,0.69061,1.06763,0.34868,1,0.37075,0.2037,1.53553,3.73945,1.11548,0.000460992,0.000460992,0.000460992
6,12.6785,1.49483,0.63121,1.07457,0.56664,1,0.68509,0.37826,1.50898,2.08207,1.10889,0.00055129,0.00055129,0.00055129
7,14.9421,1.56878,0.77726,1.07016,0.59638,0.88968,0.62677,0.25502,1.62961,1.05791,1.17428,0.000639608,0.000639608,0.000639608
8,16.9615,1.59137,0.71906,1.04051,0.22705,0.51957,0.20403,0.10875,1.60104,2.35541,1.13565,0.000725946,0.000725946,0.000725946
9,18.99,1.51312,0.6605,1.07478,0.35297,1,0.43505,0.23566,1.53787,5.88373,1.12569,0.000810304,0.000810304,0.000810304
10,21.206,1.5474,0.63557,1.05029,0.31612,1,0.38372,0.21378,1.53007,5.34261,1.11664,0.000892682,0.000892682,0.000892682
11,23.579,1.52939,0.58601,1.07159,0.88638,0.6548,0.74111,0.41069,1.58838,1.25252,1.17223,0.00097308,0.00097308,0.00097308
12,25.9014,1.50239,0.59805,1.05183,0.02455,0.20285,0.01532,0.00255,3.82609,112.018,2.77895,0.0010515,0.0010515,0.0010515
13,28.0368,1.48569,0.59456,1.03253,0.01245,0.26335,0.00874,0.00146,4.04755,inf,5.87105,0.00112794,0.00112794,0.00112794
14,31.6627,1.51356,0.59971,1.05876,0.07461,0.23843,0.08907,0.02021,2.8883,38.4957,1.95604,0.00120239,0.00120239,0.00120239
15,35.6817,1.49336,0.59227,1.06342,0.88487,0.90261,0.96122,0.54692,1.48176,0.70397,1.09395,0.00127487,0.00127487,0.00127487
16,41.2755,1.49034,0.5691,1.03436,0.5916,0.86477,0.68627,0.29477,1.56452,1.35278,1.11234,0.00134537,0.00134537,0.00134537
17,45.0781,1.49997,0.59403,1.03742,0.27312,0.85409,0.28119,0.11324,1.70957,4.47545,1.19121,0.00141389,0.00141389,0.00141389
18,48.7831,1.53687,0.57631,1.00879,0.1091,0.42705,0.10841,0.03858,2.19183,2.48663,1.46201,0.00148043,0.00148043,0.00148043
19,52.3184,1.48875,0.57345,1.06198,0.04819,0.46263,0.03227,0.01113,2.41454,5.66318,1.67681,0.00154498,0.00154498,0.00154498
20,55.8934,1.60525,0.73818,1.09405,0.00965,0.20285,0.00579,0.00229,3.26655,68.5394,3.4429,0.00160756,0.00160756,0.00160756
21,59.4714,1.57822,0.64814,1.06769,0.00517,0.11032,0.00287,0.00155,3.11148,inf,4.75132,0.001604,0.001604,0.001604
22,62.8899,1.52836,0.63711,1.05295,0.0064,0.13523,0.00361,0.00179,2.59242,inf,2.56489,0.0015842,0.0015842,0.0015842
23,66.3746,1.48607,0.60522,1.01667,0.04319,0.59431,0.03645,0.01699,1.84067,21.2462,1.31153,0.0015644,0.0015644,0.0015644
24,69.9715,1.50646,0.59807,1.0355,0.71357,0.86884,0.71938,0.3888,1.54508,1.02598,1.13308,0.0015446,0.0015446,0.0015446
25,73.6801,1.48703,0.56776,1.03837,0.85295,0.88758,0.89069,0.47624,1.55611,0.66407,1.14117,0.0015248,0.0015248,0.0015248
26,77.5987,1.48019,0.5719,1.03592,0.30506,0.61566,0.24669,0.13363,1.73351,2.35334,1.59759,0.001505,0.001505,0.001505
27,81.6052,1.45072,0.55077,1.03626,0.9926,0.66548,0.71888,0.40558,1.66434,0.7822,1.37151,0.0014852,0.0014852,0.0014852
28,85.2947,1.45372,0.54317,1.01162,0.98975,0.98577,0.99482,0.57171,1.51944,0.59664,1.09932,0.0014654,0.0014654,0.0014654
