detected_tile_count,frames,avg_table_count,avg_hand_count,avg_raw_detection_count,avg_total_ms,median_total_ms,p95_total_ms,avg_vision_ms,avg_segmentation_ms,avg_det_postprocess_ms,avg_crop_mask_ms,avg_classification_ms,avg_ppo_predict_ms
0,81,0.0,7.0,0.0,121.422,111.901,185.064,87.893,87.437,0.072,0.0,0.0,3.656
1,4,0.5,7.25,1.0,164.719,163.327,184.696,125.256,88.525,4.986,4.003,27.142,2.986
2,1,0.0,7.0,2.0,199.867,199.867,199.867,160.304,88.582,13.354,10.594,47.485,5.726
3,1,0.0,7.0,3.0,278.309,278.309,278.309,229.391,88.251,34.149,23.965,82.719,11.04
4,2,0.0,7.0,4.0,234.295,234.295,243.963,200.754,92.291,21.848,16.093,70.237,3.873
7,1,0.0,7.0,7.0,296.433,296.433,296.433,252.981,92.289,36.704,30.039,93.637,3.042
8,1,0.0,7.0,8.0,232.804,232.804,232.804,199.048,87.552,37.808,31.408,41.965,2.828
11,1,8.0,4.0,11.0,62.979,62.979,62.979,56.151,28.397,10.985,6.655,9.997,0.626
12,167,7.97,4.0,12.0,65.252,67.774,72.487,58.611,26.871,12.673,7.325,11.634,0.696
13,12,8.167,4.0,13.0,74.794,74.95,77.735,67.74,31.749,14.725,7.984,13.172,0.726
20,9,11.333,8.0,20.0,447.658,419.924,605.55,398.842,131.43,106.159,73.473,87.454,3.618
21,13,11.923,8.0,21.0,482.131,431.852,747.124,433.949,123.946,118.932,84.535,105.935,4.435
24,1,12.0,8.0,24.0,583.325,583.325,583.325,548.447,99.443,136.074,162.573,150.06,2.569
25,1,12.0,8.0,25.0,495.066,495.066,495.066,444.47,102.182,106.142,87.254,148.601,2.33
28,14,11.857,8.0,28.0,478.595,480.698,524.684,432.968,100.37,129.173,101.31,101.689,3.574
29,8,11.75,8.0,29.0,598.143,504.667,821.032,548.736,120.94,189.571,126.067,111.58,3.351
36,13,19.231,8.0,36.0,581.372,573.49,627.578,529.655,113.089,167.872,135.191,113.138,3.655
37,6,19.167,8.0,37.0,593.32,592.038,632.794,540.054,118.739,172.09,134.717,114.111,3.422
38,3,21.0,8.0,38.0,597.319,582.661,623.37,545.165,113.779,166.496,136.904,127.672,3.193
39,1,20.0,8.0,39.0,801.324,801.324,801.324,746.543,122.611,189.799,164.329,269.441,3.402
44,6,26.5,8.0,44.0,804.519,712.441,1163.006,746.19,130.924,210.453,160.017,244.239,3.315
