epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.43362,2.74341,3.86861,1.66789,0,0,0,0,2.11032,3.71447,1.41608,8e-05,8e-05,8e-05
2,4.24208,2.11908,3.52109,1.38411,0.0425,0.90747,0.07127,0.02927,1.57433,3.45708,1.07172,0.000178218,0.000178218,0.000178218
3,4.99683,1.79592,2.24281,1.02768,0.04683,1,0.13066,0.04639,1.49177,2.98972,0.97376,0.000274456,0.000274456,0.000274456
4,5.70533,1.63177,1.12404,1.03754,0.04683,1,0.98929,0.47299,1.57482,2.65427,1.02455,0.000368714,0.000368714,0.000368714
5,6.3895,1.59836,0.97185,1.02566,0.04683,1,0.99309,0.51128,1.51428,2.53475,1.00127,0.000460992,0.000460992,0.000460992
6,7.06144,1.50781,0.89226,1.02846,0.04683,1,0.75436,0.39736,1.49574,2.53943,0.99323,0.00055129,0.00055129,0.00055129
7,7.74222,1.56328,0.90515,1.03953,0.04683,1,0.45487,0.22435,1.50967,2.67543,1.007,0.000639608,0.000639608,0.000639608
8,8.48044,1.53088,0.85234,0.99179,0.04683,1,0.44186,0.22951,1.46913,2.75311,1.00523,0.000725946,0.000725946,0.000725946
9,9.15338,1.51691,0.80814,1.04776,0.04683,1,0.47228,0.25733,1.48509,2.61993,1.03344,0.000810304,0.000810304,0.000810304
10,9.80688,1.54969,0.78124,1.03088,0.04683,1,0.67886,0.37297,1.47274,2.24854,1.03731,0.000892682,0.000892682,0.000892682
11,10.4423,1.4925,0.74556,1.03137,0.35515,0.90036,0.36036,0.19691,1.48267,2.80439,1.03543,0.00097308,0.00097308,0.00097308
12,11.1083,1.50226,0.77357,1.02256,0.30163,0.87916,0.31468,0.1715,1.47207,3.55136,1.02184,0.0010515,0.0010515,0.0010515
13,11.7484,1.48994,0.73367,1.01015,0.33804,0.91815,0.34438,0.1918,1.47849,2.41357,1.01684,0.00112794,0.00112794,0.00112794
14,12.457,1.51697,0.74023,1.02821,0.4446,0.99137,0.44978,0.23592,1.4824,1.73826,1.02848,0.00120239,0.00120239,0.00120239
15,13.1389,1.46043,0.73535,1.02965,1,0.95965,0.995,0.54957,1.48549,1.71424,1.02427,0.00127487,0.00127487,0.00127487
16,13.7972,1.49956,0.71836,1.02013,0.99946,1,0.995,0.55227,1.47273,1.49512,1.03269,0.00134537,0.00134537,0.00134537
17,14.4702,1.47013,0.73589,1.01412,0.80017,0.98221,0.81418,0.43435,1.49248,1.37998,1.03113,0.00141389,0.00141389,0.00141389
18,15.1263,1.47843,0.70727,0.98218,0.70035,0.96441,0.72569,0.39787,1.48839,1.36879,1.02923,0.00148043,0.00148043,0.00148043
19,15.7802,1.44394,0.69646,1.01922,0.82157,0.96441,0.8523,0.46935,1.47674,1.18102,1.02816,0.00154498,0.00154498,0.00154498
20,16.4408,1.53469,0.73758,1.03557,0.9943,0.99288,0.99454,0.55047,1.51536,0.91528,1.04753,0.00160756,0.00160756,0.00160756
21,17.1053,1.51014,0.69974,1.01986,0.99917,1,0.995,0.55345,1.47102,0.86376,1.04794,0.001604,0.001604,0.001604
22,17.7601,1.47473,0.69983,1.00354,0.99911,1,0.995,0.55887,1.49139,0.84554,1.0688,0.0015842,0.0015842,0.0015842
23,18.4972,1.48134,0.68887,0.98967,0.99907,1,0.995,0.57439,1.45744,0.89069,1.04492,0.0015644,0.0015644,0.0015644
24,19.1558,1.49328,0.69056,1.01128,0.99804,1,0.995,0.56963,1.45218,0.78001,1.05066,0.0015446,0.0015446,0.0015446
25,19.79,1.48866,0.69481,1.01101,0.99876,1,0.995,0.57411,1.45875,0.72805,1.05631,0.0015248,0.0015248,0.0015248
26,20.4532,1.48452,0.69266,1.00849,0.99922,1,0.995,0.55825,1.46971,0.75266,1.05271,0.001505,0.001505,0.001505
27,21.1141,1.44426,0.67895,1.00557,0.99931,1,0.995,0.55712,1.46138,0.76636,1.04512,0.0014852,0.0014852,0.0014852
28,21.7567,1.45013,0.64873,0.98597,0.99952,1,0.995,0.56226,1.47514,0.64934,1.0424,0.0014654,0.0014654,0.0014654
29,22.405,1.46162,0.66377,0.96303,0.99951,1,0.995,0.53619,1.5038,0.6671,1.05001,0.0014456,0.0014456,0.0014456
30,23.0383,1.46816,0.67615,0.99411,0.99934,1,0.995,0.55127,1.49229,0.74044,1.04298,0.0014258,0.0014258,0.0014258
31,23.6767,1.46874,0.65216,1.01717,0.9993,1,0.995,0.54582,1.52598,0.79629,1.05231,0.001406,0.001406,0.001406
32,24.361,1.44362,0.65511,1.02432,0.9995,1,0.995,0.57729,1.46118,0.64372,1.05342,0.0013862,0.0013862,0.0013862
33,25.0644,1.45148,0.63962,0.9963,0.99962,1,0.995,0.59111,1.44296,0.59054,1.04997,0.0013664,0.0013664,0.0013664
34,25.7044,1.44482,0.63821,1.00082,0.9994,1,0.995,0.58399,1.46419,0.57585,1.04845,0.0013466,0.0013466,0.0013466
35,26.347,1.42605,0.62105,0.97906,0.99955,1,0.995,0.58099,1.45145,0.57334,1.04228,0.0013268,0.0013268,0.0013268
36,27.0659,1.49334,0.6491,0.98412,0.99955,1,0.995,0.58387,1.44356,0.5858,1.04487,0.001307,0.001307,0.001307
37,27.7672,1.45832,0.65309,1.02091,0.99954,1,0.995,0.58318,1.44209,0.59125,1.03942,0.0012872,0.0012872,0.0012872
38,28.3962,1.45052,0.63436,1.01488,0.99954,1,0.995,0.57622,1.44971,0.58801,1.04199,0.0012674,0.0012674,0.0012674
39,29.0192,1.44285,0.61924,1.02007,0.99963,1,0.995,0.58264,1.44392,0.57227,1.04605,0.0012476,0.0012476,0.0012476
40,29.655,1.44193,0.61415,0.99034,0.99961,1,0.995,0.57094,1.47079,0.57119,1.05722,0.0012278,0.0012278,0.0012278
41,30.2914,1.44894,0.63609,1.02031,0.99947,1,0.995,0.56563,1.48018,0.60749,1.05167,0.001208,0.001208,0.001208
42,30.9354,1.42379,0.60437,0.97169,0.99954,1,0.995,0.56675,1.49127,0.61116,1.05621,0.0011882,0.0011882,0.0011882
43,31.5867,1.45453,0.61595,0.98184,0.99965,1,0.995,0.5761,1.47188,0.57053,1.05422,0.0011684,0.0011684,0.0011684
44,32.2384,1.43753,0.61202,1.01627,0.99948,1,0.995,0.57875,1.4582,0.56638,1.052,0.0011486,0.0011486,0.0011486
45,32.8515,1.42625,0.61022,0.98786,0.9995,1,0.995,0.58871,1.45286,0.555,1.04822,0.0011288,0.0011288,0.0011288
46,33.4876,1.41802,0.61402,1.00041,0.99965,1,0.995,0.57593,1.47299,0.56595,1.05155,0.001109,0.001109,0.001109
47,34.1092,1.44631,0.62767,1.01445,0.9995,1,0.995,0.56519,1.4712,0.58902,1.05237,0.0010892,0.0010892,0.0010892
48,34.7364,1.45699,0.60559,0.99123,0.99966,1,0.995,0.59639,1.42501,0.53414,1.03339,0.0010694,0.0010694,0.0010694
49,35.3901,1.43897,0.58238,0.99737,0.99968,1,0.995,0.5934,1.43515,0.5481,1.0367,0.0010496,0.0010496,0.0010496
50,36.0764,1.42192,0.57133,1.00749,0.9997,1,0.995,0.59157,1.43738,0.55545,1.03796,0.0010298,0.0010298,0.0010298
51,36.7073,1.4118,0.58515,0.98237,0.9997,1,0.995,0.58575,1.44936,0.54283,1.0392,0.00101,0.00101,0.00101
52,37.3635,1.43296,0.59539,0.99901,0.99964,1,0.995,0.58128,1.4642,0.5708,1.04079,0.0009902,0.0009902,0.0009902
53,37.9912,1.39194,0.601,0.99455,0.99961,1,0.995,0.5739,1.46917,0.56998,1.0386,0.0009704,0.0009704,0.0009704
54,38.6151,1.37287,0.59576,1.0065,0.99966,1,0.995,0.5702,1.48796,0.55639,1.04548,0.0009506,0.0009506,0.0009506
55,39.2615,1.41352,0.58798,0.99988,0.99956,1,0.995,0.5817,1.47629,0.53397,1.04693,0.0009308,0.0009308,0.0009308
56,39.9236,1.41682,0.59495,0.99234,0.99963,1,0.995,0.57455,1.47098,0.55392,1.05471,0.000911,0.000911,0.000911
57,40.5284,1.44192,0.58861,0.99813,0.99953,1,0.995,0.57558,1.46362,0.54242,1.05058,0.0008912,0.0008912,0.0008912
58,41.1417,1.37074,0.56458,1.01041,0.99963,1,0.995,0.5837,1.45422,0.53124,1.04374,0.0008714,0.0008714,0.0008714
59,41.7802,1.39762,0.57728,0.97245,0.99963,1,0.995,0.589,1.4412,0.52854,1.03749,0.0008516,0.0008516,0.0008516
60,42.424,1.43103,0.5858,1.00908,0.99971,1,0.995,0.58101,1.44921,0.52741,1.03971,0.0008318,0.0008318,0.0008318
61,43.0724,1.4051,0.57562,0.96181,0.99968,1,0.995,0.58273,1.44937,0.52162,1.03911,0.000812,0.000812,0.000812
62,43.7022,1.3812,0.56693,0.97918,0.9997,1,0.995,0.58615,1.44469,0.50896,1.03946,0.0007922,0.0007922,0.0007922
63,44.3382,1.41198,0.58147,1.01148,0.99953,1,0.995,0.58835,1.44752,0.51264,1.04079,0.0007724,0.0007724,0.0007724
